Time(s)	CPU	GPU	LGPU
1261s	3.2	99	99
1263s	3.3	99	99
1264s	3.1	100	100
1265s	3.2	99	99
1267s	3.1	99	99
1268s	3.2	100	100
1269s	3.1	100	94
1271s	3.1	99	98
1272s	3.2	100	100
1273s	3.2	100	100
1275s	3.1	99	99
1276s	3.2	99	99
1277s	3.2	100	100
1279s	2.0	27	0
1280s	0.2	0	0
1282s	46.1	0	0
1283s	60.7	0	0
1284s	22.9	99	0
1286s	3.2	100	99
1287s	3.2	99	99
1288s	3.2	100	100
1290s	3.2	100	100
1291s	3.2	99	98
1293s	3.2	100	98
1294s	3.1	100	100
1295s	3.2	100	100
1297s	3.2	100	99
1298s	3.2	100	100
1299s	3.1	100	100
1301s	3.2	100	98
1302s	3.1	100	100
1303s	3.2	100	100
1305s	3.2	99	99
1306s	3.2	100	99
1307s	0.2	0	0
1309s	15.6	0	0
1310s	57.9	0	0
1312s	48.5	33	0
1313s	3.2	100	100
1314s	3.2	100	100
1316s	3.2	100	99
1317s	3.2	99	98
1318s	3.2	100	100
1320s	3.2	99	99
1321s	3.2	99	99
1322s	3.2	100	100
1324s	3.1	100	99
1325s	3.1	100	99
1326s	3.2	100	100
1328s	3.2	100	100
1329s	3.2	99	99
1330s	3.2	100	99
1332s	3.1	100	100
1333s	3.2	100	99
1335s	0.3	0	0
1336s	0.2	0	0
1337s	59.6	0	0
1339s	59.4	32	0
1340s	6.9	100	100
1341s	3.2	100	100
1343s	3.2	100	100
1344s	3.2	99	99
1345s	3.2	100	100
1347s	3.2	99	99
1348s	3.2	99	99
1349s	3.3	100	100
1351s	3.2	99	99
1352s	3.1	99	95
1354s	3.2	100	100
1355s	3.2	100	100
1356s	3.1	99	99
1358s	3.2	99	98
1359s	3.2	100	100
1360s	3.1	100	100
1362s	0.3	0	0
1363s	0.2	0	0
1364s	61.6	0	0
1366s	59.0	33	0
1367s	3.2	100	98
1369s	3.1	100	100
1370s	3.2	100	100
1371s	3.2	100	100
1373s	3.2	99	99
1374s	3.2	100	100
1375s	3.2	99	99
1377s	3.2	100	99
1378s	3.2	100	100
1379s	3.9	100	99
1381s	3.2	100	100
1382s	3.2	100	100
1383s	3.2	100	100
1385s	3.1	100	99
1386s	3.2	100	99
1387s	3.2	100	100
1389s	1.3	16	0
1390s	0.2	0	0
1392s	51.0	0	0
1393s	60.1	24	0
1394s	10.2	100	99
1396s	3.2	100	99
1397s	3.2	100	100
1399s	3.1	99	99
1400s	3.2	99	99
1401s	3.1	100	100
1403s	3.1	100	100
1404s	3.2	100	100
1405s	3.1	100	100
1407s	3.2	100	100
1408s	3.2	100	99
1409s	4.0	100	99
1411s	3.2	100	100
1412s	3.1	100	99
1413s	3.1	100	100
1415s	3.2	100	100
1416s	3.2	98	62
1418s	0.2	0	0
1419s	1.8	34	0
1420s	1.7	100	100
